Index,Artist,Title,Mood,Lyrics
Is it the smallest things that tear us down
My world's nothing when you don't
I'm out here without a shield; can't go back now

Both hands tied behind my back with nothing
Oh no, these times when we climb so fast to fall again
Why we gotta fall for it now

I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for

Why does love always feel like a battlefield, a battlefield, a battlefield?
Why does love always feel like a battlefield, a battlefield, a battlefield?
Why does love always feel like...

Can't swallow our pride,
Neither of us wanna raise that flag, mhm
If we can't surrender then
We both gonna lose what we had, oh no

Both hands tied behind my back with nothing
Oh no, these times when we climb so fast to fall again
I don't wanna fall for it now

I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for

Why does love always feel like a battlefield, a battlefield, a battlefield?
Why does love always feel like a battlefield, a battlefield, a battlefield?

I guess you better go and get your armor, (get your armor) get your armor
I guess you better go and get your armor, (get your armor) get your armor
I guess you better go and get your...

We could pretend that we are friends tonight (oh-oh-oh)
And in the morning we'll wake up and we'll be all right
Cause baby we don't have to fight
And I don't want this love to feel like...

A battlefield, a battlefield, a battlefield,
Why does love always feel like a battlefield, a battlefield, a battlefield?

I guess you better go and get your armor...

I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for (what are we fighting for?)

Why does love always feel like a battlefield, a battlefield, a battlefield?
Why does love always feel like a battlefield, a battlefield, a battlefield?

I guess you better go and get your armor, (get your armor) get your armor
I guess you better go and get your armor, (get your armor) get your armor

Why does love always feel like...
Why does love always feel like...
A battlefield, a battlefield

I never meant to start a war
Don't even know what we're fighting for

I never meant to start a war
Don't even know what we're fighting for"

ML20,Spoon,You Got Yr. Cherry Bomb,neg,"Life can be so fair
Let it go on and on
I can push for good
You got that cherry bomb
Blow out that cherry bomb for me
We lost it long ago
You and me

Now you know your way back from the spirit far
Brush your teeth for bed
Blow out that cherry bomb
Blow out that cherry bomb for me
You got to know it's on your sleeve
Know it's on your sleeve
Know it's on your sleeve

It was the longest day that I had ever known
I watched you start that drive alone
Blow out that cherry bomb for me
It's gonna burn right up your sleeve
Burn right up your sleeve

So there you go again
Out in your dressing gown
Get yourself to bed
Blow out that cherry bomb

Oh, life could be so fair
Let it go on and on
I could pay to have all your cherry bomb
Oh, life could be so fair
Let it go on and on
I could pay to have all your cherry bomb"

ML26,Anders Osborne,Darkness At The Bottom,neg,"Darkness at the bottom
Of a hole I didn't dig
Darkness at the bottom
Of a hole I didn't dig
Yeah, I'm down here on my knees
Beggin' you please Lord
Save me before I'm losin' it

It leaves me wondering
Is this how it's gonna be
It leaves me wondering
Is this how it's gonna be
Everbody's talking
Nobody's listening

Darkness at the bottom
Of a hole I didn't dig
Darkness at the bottom
Of a hole I didn't dig
Yeah, I'm down here on my knees
Crawlin' in the mud

Just like a pig

Hearing is believing
Tell me what you need to know
Hearing is believing
Tell me what you need to know
Yeah, everybody's pushing
But we ain't got nowhere to go
Nowhere to go
Nowhere to go

Darkness at the bottom
Of a whole lot of misery
Darkness down here at the bottom
Of a whole lot of misery
Yeah, I've seen blood turn into water
And a whole lotta low down greed
Whole lotta low down greed"

ML34,Stars,Fixed,neg,"What you want
You are, you always were
What you want
You are, you always were

When the plans fall
Changing hands
What are the chances
Of winning?

You, you hold my heart
You, you won't let up
After when I'm called
Touch turns into fisticuffs
It's all in your head
Wonder if I'm fixed to cut

For its statistics
In the collected whole
We are the hunger
That keeps you climbing walls

It's the one thing
You can count on
We all end floating away
We all end floating away

You, you hold my heart
You, you won't let up
After when I'm called
Touch turns into fisticuffs
It's all in your head
Wonder if I'm fixed to cut

Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?
Is it your fault?

You
You're sinking, so they say
You
You're finished, so they say
You
You're buried, so they say
You
I care when caring fades"

ML37,Mavis Staples,You Are Not Alone,neg,"You're not alone
I'm with you
I'm lonely too

What's that song
Can't be sung
By two?

A broken home
A broken heart
Isolated and afraid
Open up this is a raid
I wanna get it through to you
You're not alone

You're not alone
Every night
I stand in your place

Every tear
On every face
Tastes the same

A broken dream
A broken heart
Isolated and afraid
Open up this is a raid
I wanna get it through to you
You're not alone

An open hand
An open heart
There's no need to be afraid
Open up this is a raid
I wanna get it through to you
You're not alone
I wanna get it through to you
You're not alone
I'm gonna get it through to you
You're not alone"

ML41,Megadeth,Angry Again,neg,"The more of you that I inspect
The more of me I see reflect
The more I try to read your lips
The more the mask you're wearing rips

But when I seek out your voice
My ears are overcome with noise
You show and tell with greatest ease
Raving impossibilities

Engaged in crime, I grasp my throat
Enraged, my mind starts to smoke
Enforced mental overload
Angry again, angry again, angry, ow!

And when the story takes a twist
It folds like a contortionist
Sleight of hand and a quick exchange
The old tricks have been rearranged

Engaged in crime, I grasp my throat
Enraged, my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry

The searing of the sinew
My body fights for air
The ripping of tissue
My lungs begin to tear
Gravity's got my bones
It pulls my flesh away
The steam finally dissipates
I make out my sweating face

Association that I choose
Game I inevitably lose
Governed by laws set up by me
Fracture its jaw to let me be

A cut-out cardboard condo maze
Filled with an insubordinate race
Irrational youths stop to stare
As music rubber-hosed the air

Engaged in crime, I grasp my throat
Enraged, my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry again
And again and again, again

Engaged in crime, I grasp my throat
Enraged, my mind starts to smoke
Enforce a mental overload
Angry again, angry again, angry, ow!"

ML42,Ra,Do You Call My Name,neg,"(Kill me with a/the beat)

Some people seem to think they always know what's best for you
Their little minds try to create a world to keep you still
The bolt is strong, the cage is locked, you saw this, don't you lie
At first you cry and then you hate those people, stole your will

Do as you are told
And maybe then we'll let you out
You might be dead and cold
You might be full of doubt
Don't try to escape
'Cause you don't have nowhere to go
If nothing is your fate
There's no scenario
(No nothing)

Do you call my name
Do you stain my brain
My eyes are blurry and I can't see you anymore
Do you call my name
Do you breed my pain
My heart is bloody and I can't take it anymore

So you just sit there stuck, afraid to risk reality
Afraid to cause yourself more pain to face insanity
But nothing ventured, nothing gained, you see your fear's your cage
You beg for help but you're alone stuck in a helpless rage

Do as you are told
And maybe then we'll let you out
You might be dead and cold
You might be full of doubt
Don't try to escape
'Cause you don't have nowhere to go
If nothing is your fate
There's no scenario

It's me...
I see...
Please...
(Let me out, I'm petrified)

Do as you are told
And maybe then we'll let you out
You might be dead and cold
You might be full of doubt
Don't try to escape
'Cause you don't have nowhere to go
If nothing is your fate
There's no scenario

(C'mon)

(x2)
Do you call my name
Do you stain my brain
My eyes are blurry and I can't see you anymore
Do you call my name
Do you breed my pain
My heart is bloody and I can't take it anymore"

ML45,Static-X,Dirthouse,neg,"All right

My dirthouse, watch it happen from the box
Mind wanders, dirty, dirty word
My dirthouse, this is where it all comes down
Look into my eye, you feel my skin, it's dirt

Drive me wild, remember when you blew my mind?
Cut through me, living in the dirt
These dogs are curled up in a little ball
These dogs are freezing their asses off!

Go, go, go! Go, go, go!
Pick up the pieces
I wanna call this my home!
Go, go, go! Go, go, go!
Pick up the pieces
I've got some pain of my own!

Go, go, go! Go, go, go!
Pick up the pieces
I wanna call this my home!
Go, go, go! Go, go, go!
Pick up the pieces
I've got some pain of my own!

Open the box, see what's inside
You make the call, sick of it all
Open the box, see what's inside
You make the call, sick of it all

Tear me down, pushing on my every nerve
Scares me, I hope I don't get burnt
Look closer, look into my dirty mind
Feeling sick inside, my blood has turned to fucking dirt!

Go, go, go! Go, go, go!
Pick up the pieces
I wanna call this my home!
Go, go, go! Go, go, go!
Pick up the pieces
I've got some pain of my own!"

ML46,Metallica,Cyanide,neg,"Sleep and dream of this
Death Angel's kiss
Brings final bliss
Completely

Empty, they say
""Death, won't you let me stay?""
Empty, they say
""Death, hear me call your name!""
Ooh, call your name

Suicide, I've already died
You're just the funeral I've been waiting for
Cyanide, living dead inside
Break this empty shell forevermore

Wait, wait patiently
Your death-black wings
Unfolding sleep
Spreading o'er me

Empty, they say
""Death, won't you let me stay?""
Empty, they say
""Death, hear me call your name!""
Ooh, call your name

Suicide, I've already died
You're just the funeral I've been waiting for
Cyanide, living dead inside
Break this empty shell forevermore

Say, is that rain or are they tears
That stained your concrete face for years?
The crying, weeping, shedding strife
Year after year, life after life

An air of freshly broken ground
A concrete angel laid right down
Upon the grave which swallows fast
It's peace at last, oh, peace at last

Ooh, empty, they say
""Death, won't you let me stay?""
Empty, they say
""Death, hear me call your name!""
Call your name

Suicide, I've already died
You're just the funeral I've been waiting for
Cyanide, living dead inside
Break this empty shell forevermore

Forevermore
Forevermore
It's just the funeral I've been waiting for"

ML47,Green Day,Longview,neg,"I sit around and watch the tube, but nothing's on
I change the channels for an hour or two
Twiddle my thumbs just for a bit
I'm sick of all the same old shit
In a house with unlocked doors
And I'm fuckin' lazy

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm goin' blind
And I smell like shit

Peel me off this Velcro seat and get me movin'
I sure as hell can't do it by myself
I'm feelin' like a dog in heat
Barred indoors from the summer street
I locked the door to my own cell and I lost the key

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm goin' blind
And I smell like shit

I got no motivation
Where is my motivation?
No time for the motivation
Smokin' my inspiration
Huah!

I sit around and watch the phone, but no one's callin'
Call me pathetic, call me what you will
My mother says to get a job
But she don't like the one she's got
When masturbation's lost its fun
You're fuckin' lonely
Suh!

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm goin' blind
And loneliness has to suffice

Bite my lip and close my eyes
I was slippin' away to paradise
A-some say quit or I'll go blind
But it's just a myth"

ML48,Nirvana,Rape Me,neg,"Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one

Hate me
Do it and do it again
Waste me
Rape me, my friend

I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one

My favorite inside source
I'll kiss your open sores
Appreciate your concern
You'll always stink and burn

Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one
I-I-I-I I'm not the only one

Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me"

ML49,Marilyn Manson,Sweet Dreams ,neg,"Sweet dreams are made of these
Who am I to disagree?
Travel the world and the seven seas
Everybody's looking for something
Some of them want to use you
Some of them want to get used by you
Some of them want to abuse you
Some of them want to be abused

Sweet dreams are made of these
Who am I to disagree?
Travel the world and the seven seas
Everybody's looking for something
Some of them want to use you
Some of them want to get used by you
Some of them want to abuse you
Some of them want to be abused

I wanna use you and abuse you
I wanna know what's inside you
Moving on, moving on
Moving on, moving on
Moving on, moving on
Moving on

Sweet dreams are made of these
Who am I to disagree?
Travel the world and the seven seas
Everybody's looking for something
Some of them want to use you
Some of them want to get used by you
Some of them want to abuse you
Some of them want to be abused

I'm gonna use you and abuse you
I'm gonna know what's inside
Gonna use you and abuse you
I'm gonna know what's inside you"

ML50,Staind,Mudshovel,neg,"You take away
I feel the same

You take away
I feel the same
All the promises you made to me
You made in vain
I lost myself inside
Your tainted smile again

Cause you can't feel my anger
You can't feel my pain
You can't feel my torment
Driving me insane
I can't fight these feelings
They will bring you pain
You can't take away
Make me whole again

I feel betrayed
Stuck in your ways
And you rip me apart with the
Brutal things you say
I can't deal with this shit anymore
I just look away

Cause you can't feel my anger
You can't feel my pain
You can't feel my torment
Driving me insane
I can't fight these feelings
They bring only pain
You can't take away
Make me whole again

Mudshovel (x8)

You take away
I feel the same
All these promises
You promised only pain
If you take away
And leave me with nothing again

Cause you can't feel my anger
You can't feel my pain
You can't feel my torment
Driving me insane
I can't fight these feelings
They bring me pain
You can't take away
Make me whole again

You will feel my anger
You will feel my pain
You will feel my torment
Driving you insane
I can't fight these feelings
They will bring you pain
You won't take away
I'll be whole again
Mudshovel (x8)"

ML54,Metallica,Harvester Of Sorrow,neg,"My life suffocates
Planting seeds of hate
I've loved, turned to hate
Trapped far beyond my fate
I give, you take
This life that I forsake
Been cheated of my youth
You turned this lie to truth

Anger, misery
You'll suffer unto me

Harvester of sorrow
Language of the mad
Harvester of sorrow

Pure black looking clear
My work is done soon here
Try getting back to me
Get back what used to be
Drink up, shoot in
Let the beatings begin
Distributor of pain
Your loss becomes my gain

Anger, misery
You'll suffer unto me

Harvester of sorrow
Language of the mad
Harvester of sorrow

All have said their prayers
Invade their nightmares
To see into my eyes
You'll find where murder lies
Infanticide

Harvester of sorrow
Language of the mad
Harvester of sorrow
Language of the mad
Harvester of sorrow
Harvester of sorrow
Harvester of sorrow
Harvester of sorrow
Harvester of sorrow
Harvester of sorrow"

ML55,Guns N' Roses,Civil War,neg,"""What we've got here is failure to communicate.
Some men you just can't reach.
So, you get what we had here last week,
which is the way he wants it.
Well, he gets it.  I don't like it 
any more than you men.""

Look at your young men fighting
Look at your women crying
Look at your young men dying
The way they've always done before

Look at the hate we're breeding
Look at the fear we're feeding
Look at the lives we're leading
The way we've always done before

My hands are tied
The billions shift from side to side
And the wars go on with brainwashed pride
For the love of God and our human rights

And all these things are swept aside
By bloody hands time can't deny
And are washed away by your genocide
And history hides the lies of our civil war

Did you wear a black armband
When they shot the man
Who said, ""Peace could last forever""
And in my first memories
They shot Kennedy
I went numb when I learned to see

So I never fell for Vietnam
We got the wall of D.C. to remind us all
That you can't trust freedom
When it's not in your hands
When everybody's fightin'
For their promised land and

I don't need your civil war
It feeds the rich while it buries the poor
Your power hungry sellin' soldiers
In a human grocery store
Ain't that fresh
I don't need your civil war
No, no, no, no, no

Look at the shoes you're filling
Look at the blood we're spilling
Look at the world we're killing
The way we've always done before

Look in the doubt we've wallowed
Look at the leaders we've followed
Look at the lies we've swallowed
And I don't want to hear no more

My hands are tied
For all I've seen has changed my mind
But still the wars go on as the years go by
With no love of God or human rights

'Cause all these dreams are swept aside
By bloody hands of the hypnotized
Who carry the cross of homicide
And history bears the scars of our civil war

""We practice selective annihilation
Of mayors and government officials,
for example, to create a vacuum.
Then we fill that vacuum.
As popular war advances
Peace is closer.""

I don't need your civil war
It feeds the rich while it buries the poor
Your power hungry sellin' soldiers
In a human grocery store
Ain't that fresh
And I don't need your civil war
No, no, no, no, no

I don't need your civil war
I don't need your civil war
Your power hungry sellin' soldiers
In a human grocery store
Ain't that fresh
I don't need your civil war
No, no, no, no, no

I don't need one more war

I don't need one more war
No, no, no

What's so civil 'bout war anyway?"

ML56,Shadows Fall,King Of Nothing,neg,"It was gone before you ever had a chance
Lost forever in your disapproving glance

I see your face, it's twisted with shock
Falling from grace, you deserve what you got
The ice surrounds you now
You can pretend all that you want
I've seen the pain and all of the evil you brought

Quit your fucking crying and swallow all your pills
You're not the only one with the urge to kill
Grab the dusty bottle and let the liquor spill
Devoid of life, death is your final thrill

Bloodshot eyes can see right through the selfish lies
Search forever for a fix that keeps your high

I see your face, it's twisted with shock
Falling from grace, you deserve what you got
My hands around your throat
You can pretend all that you want
I've seen the pain and all of the evil you brought

I am the king of nothing, over emptiness I reign
Drown with sorrow, wash away the pain
I am the king of nothing, over emptiness I reign
Drown with sorrow, wash away the pain

I see your face, it's twisted with shock
Falling from grace, you deserve what you got
My hands around your throat
You can pretend all that you want
I've seen the pain and all of the evil you brought

I am the king of nothing, over emptiness I reign
Drown with sorrow, wash away the pain
I am the king of nothing, over emptiness I reign
Drown with sorrow, wash away the pain

Quit your fucking crying
Quit your fucking crying
Quit your fucking crying
Quit your fucking crying"

ML57,Comeback Kid,Do Yourself A Favor,neg,"I want to know how the story goes
And if the sad song writes about how much you know
About what really happened. Obviously
You've got a skewed view or you weren't present to see.

With a healthy dose of evident
Fabrication filling us in.
I want to know where you're coming from
And where you're going. Have you come undone?
There's a vitamin in this tune.
Step back a little bit. Give yourself room.

When you say, when you say how it used to be,
Understand I don't need the waste following me.
When you say, when you say how it used to be,
Understand I don't need the waste following me.
When you say, when you say how it used to be,
Understand I don't need the waste following me.

Winding it up.
Twist It. Undone.
Winding it up.
Twist It. Undone.

When you say, when you say
I want to know how the story goes
And if the sad song writes about how much you know
About what really happened. Obviously
You've got a skewed view or you weren't present to see.

With a healthy dose of evident
Fabrication filling us in.
I want to know where you're coming from
And where you're going. Have you come undone?
There's a vitamin in this tune.
Do yourself a favor. Give yourself room.

When you say, when you say how it used to be,
Understand I don't need the waste following me.
Aww!
When you say, when you say how it used to be,
Understand I don't need the waste following me.
When you say, when you say how it used to be,
Understand I don't need the waste following me.
Me!"

ML58,Rob Zombie,Superbeast,neg,"Shriek the lips
Across a ragged tongue
Convulsing together
Sing violently
Move the jaw
Cry out loud
Bound up the dead
Triumphantly

The ragged, they come
And the ragged, they kill
You pray so hard on bloody knees
The ragged, they come
And the ragged, they kill
Down in the cool air, I can see

Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast
Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast

Stir the limbs across the wrist
Full possession of memory
Bury me as a dog
Icy hands surrounding me

The ragged, they come
And the ragged, they kill
You pray so hard on bloody knees
The ragged, they come
And the ragged, they kill
Down in the cool air, I can see

Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast
Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast

Shriek the lips
Across a ragged tongue
Convulsing together
Sing violently
Move the jaw
Cry out loud
Bound up the dead
Triumphantly

The ragged, they come
And the ragged, they kill
You pray so hard on bloody knees
The ragged, they come
And the ragged, they kill
Down in the cool air, I can see

Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast
Hey, yeah, I'm the one that you wanted
Hey, yeah, I'm your superbeast"

ML61,Nine Inch Nails,Terrible Lie,neg,"Album version

(Hey God) Why are you doing this to me?
Am I not living up to what I'm supposed to be?
Why am I seething with this animosity?
(Hey God) I think you owe me a great big apology

Terrible lie
Terrible lie
Terrible lie
Terrible lie

(Hey God) I really don't know what you mean
Seems like salvation comes only in our dreams
I feel my hatred grow all the more extreme
(Hey God) Can this world really be as sad as it seems?

Terrible lie
Terrible lie
Terrible lie
Terrible lie

Don't take it away from me, I need you to hold on to
Don't take it away from me, I need you to hold on to
Don't take it away from me, I need you to hold on to
Don't take it away from me, I need someone to hold on to

Don't tear it away from me, I need you to hold on to
Don't tear it away from me, I need someone to hold on to
Don't tear it away from me, I need you to hold on to
Don't tear it, don't tear it, don't tear it, don't tear it, don't

(Hey God) There's nothing left for me to hide
I lost my ignorance, security and pride
I'm all alone in a world you must despise
(Hey God) I believed your promises, your promises and lies

Terrible lie
Terrible lie
Terrible lie
Terrible lie

You made me throw it all away, my morals left to decay
(Terrible lie)
How many you betray, you've taken everything
(Terrible lie)

My head is filled with disease, my skin is begging you please
(Terrible lie)
I'm on my hands and knees, I want so much to believe
(Terrible lie)

I give you everything
My sweet everything
Hey God, I really don't know who I am
In this world of piss

I need someone to hold on to
I need someone to hold on to
I need someone, I need someone
I need someone to hold on to
I need someone to hold on to

Empathetic

Hey God, why are you doing this to me?
Am I not living up to what I'm supposed to be?
Why am I seething with this animosity?
Hey God, I think you owe me a great big apology

Terrible lie

Hey God, I really don't know what you mean
Seems like salvation comes only in our dreams
I feel my hatred grow all the more extreme
Hey God, can this world really be as sad as it seems

Terrible Lie

Don't take it away from me
I need someone to hold on to
Don't take it away from me
I need someone to hold on to

Hey God, there's nothing left for me to hide
I lost my ignorance, security and pride
I'm all alone in a world you must despise
Hey God, I believed the promises, the promises and lies

Terrible Lie

You made me throw it all away
My morals left to decay
How many you betray
You've taken everything

Terrible Lie

My head is filled with disease
My skin is begging you please
I'm on my hands and knees
I want so much to believe

I need someone to hold on to
I need someone to hold on to
I need someone
I need someone to hold on to

I give you everything
My sweet everything
Hey God, I really don't know who I am
In this world of piss

Sympathetic

Hey God, why are you doing this to me?
Am I not living up to what I'm supposed to be?
Why am I seething with this animosity?
Hey God, I think you owe me a great big apology

Terrible lie

Hey God, I really don't know what you mean
Seems like salvation comes only in our dreams
I feel my hatred grow all the more extreme
Hey God, can this world really be as sad as it seems"

ML62,Stone Temple Pilots,Wicked Garden,neg,"Can you see like a child?
Can you see what I want?
I wanna run through your wicked garden
Heard that's the place to find you
'Cause I'm alive
So alive now
I know the darkness blinds you

Can you see without eyes?
Can you speak without lies?
I wanna drink from your naked fountain
I can drown your sorrows
I'm gonna burn
Burn you to life now
Out of the chains that bind you

Can you see just like a child?
Can you see just what I want?
Can I bring you back to life?
Are you still alive?

Burn, burn, burn
Burn your wicked garden down
Burn, burn, burn
Burn your wicked garden to the ground

Can you feel pain inside?
Can you love?
Can you cry?
I wanna run through your wicked garden
Heard that's the place to find you
But I'm alive
So alive now
I know the darkness blinds you

Can you see just like a child?
Can you see just what I want?
Can I bring you back to life?
Are you still alive?

Burn, burn, burn
Burn your wicked garden down
Burn, burn, burn
Burn your wicked garden to the ground"

ML66,Korn,Everything I've Known,neg,"Away, I see it's going down
Today, hoping in time
We'll bury all this pain
And we'll awake something inside

We push our buttons far inside
We tear our hearts out
Then we fight

Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known

Our lives, were good in every way
Too late, time after time
Our love just turned to hate
But we stay by each other's side

We push our buttons far inside
We tear our hearts out
Then we fight

Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known

I keep holding on
I feel I'm where I belong

Every time we fight, it feels so wrong
I feel so enslaved by my pride
Then we meet again

We push our buttons far inside
We tear our hearts out
Then we fight

Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known"

ML67,Disturbed,Indestructible,neg,"Another mission; the powers have called me away
Another time to carry the colors again
My motivation: an oath I've sworn to defend
To win the honor of coming back home again!

No explanation will matter after we begin
Unlock the dark destroyer that's buried within
My true vocation, and now, my unfortunate friend
You will discover a war you're unable to win

I'll have you know that I've become

Indestructible-determination that is incorruptible
From the other side, a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war!

Another reason, another cause for me to fight
Another fuse uncovered now for me to light
My dedication to all that I've sworn to protect
I carry out my orders without a regret!

My declaration embedded deep under my skin
A permanent reminder of how it began
No hesitation when I am commanded to strike
You need to know that you're in for the fight of your life!

You will be shown how I've become

Indestructible-determination that is incorruptible
From the other side, a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war!

I'm Indestructible-determination that is incorruptible
From the other side, a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I am Indestructible!

(Indestructible)

Indestructible-determination that is incorruptible
From the other side, a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war!"

ML68,Three Days Grace,Riot,neg,"If you feel so empty, so used up, so let down
If you feel so angry, so ripped off, so stepped on
You're not the only one refusing to back down
You're not the only one, so get up

Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot

If you feel so filthy, so dirty, so fucked up
If you feel so walked on, so painful, so pissed off
You're not the only one refusing to go down
You're not the only one, so get up

Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot

If you feel so empty, so used up, so let down
If you feel so angry, just get up

Let's start a riot, a riot
Let's start a riot

Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot (A riot)

Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot"

ML72,Frankie Ballard,Tell Me You Get Lonely,neg,"I bet you're kickin' yourself for lettin' me walk away
Makin' yourself a list of things you wish you didn't say
Sitting by the phone hoping it's gonna ring

Tell me you get lonely when it's cold outside
Tell me that you're only barely gettin' by
I need to know it hurts every time that you hear my name
It ain't the same without me, girl
Tell me you get lonely

Sometimes you're up all night cryin' over me
You've gotta take off of work to catch up on your sleep
But that just don't work, now does it, baby

So tell me you get lonely when it's cold outside
Tell me that you're only barely gettin' by
I need to know it hurts every time that you hear my name
It ain't the same without me, girl
Tell me you get lonely

Tell me you get lonely, and I'll come back
All you've gotta do is call me, my bag's been packed
I'm dyin' of pride, but I want you to know

That I get lonely when it's cold outside
