,title,artist,valence,arousal,dominance,sd_valence,sd_arousal,sd_dominance,empty,empty,empty,empty,unknown,total_number_of_words,emotional_impact_words,empty,norm_valence,norm_arousal,norm_dominance,empty,empty,empty,empty,empty,empty,empty,norm_unknown,norm_total,norm_emotional_impact,empty,genre,year
b351,macarthur park,richard harris,6.353263157894737,4.2936842105263135,5.819473684210525,1.6946315789473692,2.4480000000000013,2.1839999999999984,0,0,0,0,71,166,95,0,70.59181286549708,47.70760233918126,64.66081871345028,0,0,0,0,0,0,0,42.77108433734939,100,57.22891566265061,0.0,1,1968
b352,light my fire,jose feliciano,5.756744186046508,4.354341085271315,5.377519379844957,1.8415503875968993,2.399224806201552,2.297751937984495,0,0,0,0,23,152,129,0,63.96382428940564,48.38156761412572,59.75021533161063,0,0,0,0,0,0,0,15.131578947368421,100,84.86842105263158,0.0,3,1968
b353,i love you,people,6.040085470085467,4.272307692307696,5.772991452991458,1.6159829059829045,2.553162393162393,2.313846153846153,0,0,0,0,36,153,117,0,67.11206077872741,47.470085470085515,64.14434947768287,0,0,0,0,0,0,0,23.52941176470588,100,76.47058823529412,0.0,3,1968
b354,take time to know her,percy sledge,6.0894117647058845,4.116323529411766,5.484705882352941,1.635,2.3747058823529423,2.1122058823529417,0,0,0,0,62,130,68,0,67.66013071895426,45.736928104575185,60.94117647058824,0,0,0,0,0,0,0,47.69230769230769,100,52.307692307692314,0.0,1,1968
b355,pictures of matchstick men,status quo,5.976222222222223,3.914444444444444,5.739777777777779,1.6882222222222216,2.312444444444443,2.1184444444444446,0,0,0,0,32,77,45,0,66.40246913580248,43.49382716049382,63.77530864197532,0,0,0,0,0,0,0,41.55844155844156,100,58.44155844155844,0.0,1,1968
b356,summertime blues,blue cheer,6.013281249999999,4.5525,5.5646875,1.7140624999999994,2.5184374999999997,2.2367187500000005,0,0,0,0,60,124,64,0,66.8142361111111,50.583333333333336,61.829861111111114,0,0,0,0,0,0,0,48.38709677419355,100,51.61290322580645,0.0,1,1968
b357,aint nothing like the real thing,marvin gaye  tammi terrell,6.440952380952379,3.9302380952380966,5.8583333333333325,1.6038095238095238,2.2992857142857135,1.950595238095238,0,0,0,0,47,131,84,0,71.56613756613756,43.669312169312185,65.09259259259258,0,0,0,0,0,0,0,35.87786259541985,100,64.12213740458014,0.0,5,1968
b358,i got the feelin,james brown,6.260192307692308,4.343076923076922,5.297307692307692,2.0465384615384616,2.47423076923077,2.4567307692307696,0,0,0,0,39,91,52,0,69.55769230769232,48.25641025641025,58.85897435897435,0,0,0,0,0,0,0,42.857142857142854,100,57.14285714285714,0.0,1,1968
b359,ive gotta get a message to you,the bee gees,5.783939393939395,4.195151515151518,5.574242424242424,1.819545454545455,2.2930303030303025,2.2946969696969703,0,0,0,0,29,95,66,0,64.26599326599327,46.612794612794644,61.936026936026934,0,0,0,0,0,0,0,30.526315789473685,100,69.47368421052632,0.0,1,1968
b360,lady madonna,the beatles,6.178392857142859,4.128392857142857,5.761071428571428,1.661071428571429,2.350714285714286,2.216964285714286,0,0,0,0,24,80,56,0,68.64880952380955,45.87103174603175,64.01190476190476,0,0,0,0,0,0,0,30.0,100,70.0,0.0,3,1968
b361,hurdy gurdy man,donovan,6.2253124999999985,4.276249999999998,5.624374999999998,1.6487499999999997,2.5124999999999997,2.1734375000000004,0,0,0,0,104,136,32,0,69.17013888888887,47.51388888888887,62.49305555555553,0,0,0,0,0,0,0,76.47058823529412,100,23.52941176470588,0.0,1,1968
b362,magic carpet ride,steppenwolf,6.329565217391301,4.130579710144928,5.632318840579708,1.5428985507246384,2.3285507246376813,2.095797101449276,0,0,0,0,31,100,69,0,70.3285024154589,45.89533011272142,62.58132045088564,0,0,0,0,0,0,0,31.0,100,69.0,0.0,1,1968
b363,bottle of wine,the fireballs,5.912232142857148,3.9263392857142834,5.730089285714285,1.610267857142856,2.2485714285714296,2.109375000000002,0,0,0,0,18,130,112,0,65.69146825396831,43.625992063492035,63.66765873015871,0,0,0,0,0,0,0,13.846153846153847,100,86.15384615384616,0.0,3,1968
b364,stay in my corner,the dells,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,100,0.0,0.0,1,1968
b365,soul serenade,willie mitchell,6.76,3.92,6.68,1.45,2.36,1.95,0,0,0,0,0,1,1,0,75.11111111111111,43.55555555555556,74.22222222222223,0,0,0,0,0,0,0,0.0,100,100.0,0.0,3,1968
b366,delilah,tom jones,5.559189189189189,4.070270270270271,5.33081081081081,1.5986486486486484,2.39,2.1783783783783788,0,0,0,0,38,75,37,0,61.76876876876876,45.22522522522523,59.23123123123123,0,0,0,0,0,0,0,50.66666666666667,100,49.333333333333336,0.0,1,1968
b367,nobody but me,the human beinz,6.603076923076923,4.067692307692308,5.573846153846153,1.6630769230769231,2.2969230769230764,1.9369230769230772,0,0,0,0,39,52,13,0,73.36752136752136,45.19658119658121,61.93162393162393,0,0,0,0,0,0,0,75.0,100,25.0,0.0,1,1968
b368,i thank you,sam and dave,6.645119047619047,4.235833333333335,5.931547619047615,1.6647619047619038,2.477857142857144,2.1484523809523806,0,0,0,0,58,142,84,0,73.83465608465607,47.06481481481483,65.9060846560846,0,0,0,0,0,0,0,40.845070422535215,100,59.154929577464785,0.0,3,1968
b369,the fool on the hill,sergio mendes,5.720434782608695,4.086739130434784,5.4,1.6604347826086956,2.311304347826087,2.069565217391305,0,0,0,0,29,75,46,0,63.56038647342994,45.40821256038649,60.0,0,0,0,0,0,0,0,38.666666666666664,100,61.33333333333333,0.0,3,1968
b370,sky pilot,the animals,6.026249999999998,4.094791666666667,5.618125000000002,1.738541666666667,2.303124999999999,2.3504166666666673,0,0,0,0,25,73,48,0,66.95833333333331,45.49768518518519,62.423611111111136,0,0,0,0,0,0,0,34.24657534246575,100,65.75342465753424,0.0,1,1968
b371,indian lake,the cowsills,6.120999999999998,3.8501999999999974,5.681999999999997,1.7801999999999993,2.3066000000000004,2.1143000000000005,0,0,0,0,87,187,100,0,68.01111111111109,42.77999999999997,63.1333333333333,0,0,0,0,0,0,0,46.524064171122994,100,53.475935828877006,0.0,3,1968
b372,i wonder what shes doing tonight,tommy boyce  bobby hart,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1968
b373,over you,gary puckett  the union gap,5.428181818181818,4.014090909090909,4.985454545454545,1.5995454545454544,2.3254545454545457,2.218636363636364,0,0,0,0,37,59,22,0,60.31313131313131,44.6010101010101,55.3939393939394,0,0,0,0,0,0,0,62.71186440677966,100,37.28813559322034,0.0,3,1968
b374,goin out of my headcant take my eyes off you,the lettermen,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1968
b375,shoobedoobedoodaday,stevie wonder,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1968
b376,the unicorn,the irish rovers,5.962962962962963,4.211203703703704,5.136388888888888,1.798518518518519,2.362500000000001,2.2241666666666653,0,0,0,0,83,191,108,0,66.2551440329218,46.791152263374485,57.07098765432098,0,0,0,0,0,0,0,43.455497382198956,100,56.54450261780105,0.0,3,1968
b377,you keep me hangin on,vanilla fudge,6.439375000000003,4.3971875,5.807812499999999,1.775625,2.514375,2.3028125000000004,0,0,0,0,29,61,32,0,71.54861111111114,48.857638888888886,64.53124999999999,0,0,0,0,0,0,0,47.540983606557376,100,52.459016393442624,0.0,1,1968
b378,revolution,the beatles,6.033035714285712,4.238214285714287,5.707678571428569,1.6098214285714278,2.266428571428571,2.197857142857143,0,0,0,0,38,94,56,0,67.03373015873014,47.091269841269856,63.41865079365076,0,0,0,0,0,0,0,40.42553191489361,100,59.57446808510638,0.0,3,1968
b379,woman woman,gary puckett  the union gap,6.0761702127659545,4.136382978723406,5.717021276595745,1.5174468085106378,2.3300000000000014,2.0402127659574463,0,0,0,0,35,82,47,0,67.51300236406615,45.95981087470451,63.52245862884162,0,0,0,0,0,0,0,42.68292682926829,100,57.3170731707317,0.0,3,1968
b380,elenore,the turtles,6.138,4.224400000000001,5.7638,1.592,2.34,2.1628000000000003,0,0,0,0,49,99,50,0,68.19999999999999,46.93777777777779,64.04222222222222,0,0,0,0,0,0,0,49.494949494949495,100,50.505050505050505,0.0,3,1968
b381,white room,cream,5.600476190476191,3.886984126984127,5.344920634920635,1.7015873015873018,2.3303174603174606,2.1712698412698406,0,0,0,0,23,86,63,0,62.22751322751323,43.188712522045854,59.38800705467372,0,0,0,0,0,0,0,26.744186046511626,100,73.25581395348837,0.0,1,1968
b382,youre all i need to get by,marvin gaye  tammi terrell,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1968
b383,baby now that ive found you,the foundations,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1968
b384,sweet inspiration,sweet inspirations,6.573928571428564,4.1320238095238055,5.726904761904764,1.6246428571428564,2.6163095238095218,2.104761904761907,0,0,0,0,27,111,84,0,73.0436507936507,45.911375661375615,63.63227513227517,0,0,0,0,0,0,0,24.324324324324326,100,75.67567567567568,0.0,3,1968
b385,if you can want,the miracles,6.218529411764703,4.158529411764706,5.5200000000000005,1.6797058823529412,2.2982352941176476,2.3017647058823534,0,0,0,0,25,93,68,0,69.09477124183005,46.205882352941174,61.333333333333336,0,0,0,0,0,0,0,26.881720430107524,100,73.11827956989248,0.0,3,1968
b386,cab driver,the mills brothers,5.893684210526315,3.9289473684210514,5.846578947368421,1.6205263157894736,2.330394736842105,2.2511842105263153,0,0,0,0,15,91,76,0,65.48538011695905,43.65497076023391,64.96198830409357,0,0,0,0,0,0,0,16.483516483516482,100,83.51648351648352,0.0,3,1968
b387,time has come today,the chambers brothers,5.897469879518076,3.898915662650604,5.351807228915667,1.6077108433734946,2.414939759036145,2.1756626506024084,0,0,0,0,52,135,83,0,65.52744310575639,43.32128514056226,59.464524765729635,0,0,0,0,0,0,0,38.51851851851852,100,61.48148148148148,0.0,1,1968
b388,do you know the way to san jose,dionne warwick,6.106124999999999,3.943,5.717249999999999,1.6774999999999995,2.3251249999999994,2.0989999999999998,0,0,0,0,59,139,80,0,67.84583333333332,43.81111111111111,63.52499999999999,0,0,0,0,0,0,0,42.44604316546763,100,57.55395683453237,0.0,1,1968
b389,scarborough faircanticle,simon  garfunkel,5.832650602409639,3.8925301204819287,5.489277108433734,1.7508433734939755,2.258433734939759,2.22433734939759,0,0,0,0,33,116,83,0,64.80722891566265,43.25033467202143,60.99196787148594,0,0,0,0,0,0,0,28.448275862068968,100,71.55172413793103,0.0,3,1968
b390,say it loud  im black and im proud,james brown,5.783405405405404,4.273675675675672,5.972486486486489,1.7859459459459446,2.3776216216216217,2.0565945945945967,0,0,0,0,177,362,185,0,64.26006006006004,47.485285285285244,66.360960960961,0,0,0,0,0,0,0,48.89502762430939,100,51.10497237569061,0.0,5,1968
b391,the mighty quinn,manfred mann,6.267956989247309,3.983978494623654,5.980322580645162,1.5407526881720435,2.2158064516129037,1.9604301075268806,0,0,0,0,87,180,93,0,69.64396654719232,44.2664277180406,66.44802867383514,0,0,0,0,0,0,0,48.333333333333336,100,51.66666666666667,0.0,3,1968
b392,here comes the judge,shorty long,5.1604724409448774,4.006535433070866,5.194724409448818,1.6211811023622056,2.360078740157482,2.176299212598425,0,0,0,0,47,174,127,0,57.338582677165306,44.517060367454064,57.71916010498686,0,0,0,0,0,0,0,27.011494252873565,100,72.98850574712644,0.0,3,1968
b393,i say a little prayer,aretha franklin,5.985641025641027,4.2565384615384625,5.736666666666667,1.6920512820512819,2.4675641025641015,2.2134615384615373,0,0,0,0,46,124,78,0,66.50712250712253,47.2948717948718,63.74074074074075,0,0,0,0,0,0,0,37.096774193548384,100,62.903225806451616,0.0,1,1968
b394,think,aretha franklin,6.308035714285716,4.164821428571429,6.06767857142857,1.7272321428571433,2.2525000000000013,2.068125000000001,0,0,0,0,69,181,112,0,70.08928571428574,46.27579365079365,67.41865079365078,0,0,0,0,0,0,0,38.12154696132597,100,61.87845303867403,0.0,1,1968
b395,sealed with a kiss,gary lewis and the playboys,6.160784313725489,4.267450980392159,5.8464705882352925,1.6603921568627449,2.5152941176470582,2.163921568627451,0,0,0,0,35,86,51,0,68.45315904139431,47.41612200435732,64.96078431372547,0,0,0,0,0,0,0,40.69767441860465,100,59.30232558139535,0.0,3,1968
b396,piece of my heart,big brother and the holding company,6.031755725190843,4.169312977099235,5.422900763358779,1.6564122137404582,2.355801526717556,2.162595419847328,0,0,0,0,63,194,131,0,67.01950805767603,46.325699745547055,60.25445292620865,0,0,0,0,0,0,0,32.47422680412371,100,67.5257731958763,0.0,3,1968
b397,suzie q,creedence clearwater revival,6.584749999999997,3.9750000000000014,5.809500000000001,1.6062499999999997,2.3689999999999993,2.00425,0,0,0,0,56,96,40,0,73.16388888888885,44.16666666666668,64.55000000000001,0,0,0,0,0,0,0,58.333333333333336,100,41.66666666666667,0.0,1,1968
b398,bend me shape me,the american breed,5.964237288135594,4.332542372881355,5.7028813559322,1.6047457627118635,2.295593220338983,2.2822033898305096,0,0,0,0,24,83,59,0,66.2693032015066,48.13935969868172,63.36534839924666,0,0,0,0,0,0,0,28.915662650602407,100,71.08433734939759,0.0,3,1968
b399,hey western union man,jerry butler,5.8429914529914475,4.073931623931627,5.552222222222224,1.6641880341880353,2.4876923076923085,2.095641025641026,0,0,0,0,33,150,117,0,64.92212725546052,45.265906932573635,61.691358024691375,0,0,0,0,0,0,0,22.0,100,78.0,0.0,1,1968
b400,never give you up,jerry butler,6.080449438202249,4.306629213483148,5.791348314606745,1.5683146067415734,2.325056179775281,2.1525842696629214,0,0,0,0,103,192,89,0,67.56054931335832,47.8514357053683,64.34831460674161,0,0,0,0,0,0,0,53.645833333333336,100,46.35416666666667,0.0,1,1968
b401,sugar sugar,the archies,6.8662857142857145,4.621428571428571,6.055,1.6205714285714272,2.5127142857142877,2.188857142857143,0,0,0,0,38,108,70,0,76.2920634920635,51.34920634920635,67.27777777777777,0,0,0,0,0,0,0,35.18518518518518,100,64.81481481481481,0.0,1,1969
b402,aquariuslet the sunshine in,the 5th dimension,6.808484848484846,4.212121212121208,5.771818181818178,1.5224242424242418,2.495858585858589,2.1236363636363635,0,0,0,0,41,140,99,0,75.64983164983163,46.80134680134676,64.13131313131309,0,0,0,0,0,0,0,29.28571428571429,100,70.71428571428572,0.0,3,1969
b403,i cant get next to you,the temptations,5.840645161290321,4.117419354838711,5.56290322580645,1.6808602150537628,2.266559139784946,2.184408602150538,0,0,0,0,70,163,93,0,64.89605734767024,45.74910394265235,61.81003584229389,0,0,0,0,0,0,0,42.944785276073624,100,57.05521472392638,0.0,1,1969
b404,honky tonk women,the rolling stones,5.218108108108109,4.082972972972973,5.339189189189192,1.7410810810810808,2.268648648648649,2.1078378378378377,0,0,0,0,33,70,37,0,57.97897897897899,45.366366366366364,59.32432432432435,0,0,0,0,0,0,0,47.14285714285714,100,52.85714285714286,0.0,3,1969
b405,everyday people,sly  the family stone,5.791343283582087,3.7716417910447744,5.751492537313434,1.8220895522388054,2.278507462686567,2.1482089552238803,0,0,0,0,28,95,67,0,64.34825870646763,41.907131011608605,63.90547263681593,0,0,0,0,0,0,0,29.47368421052631,100,70.52631578947368,0.0,3,1969
b406,dizzy,tommy roe,5.453582089552236,4.263582089552237,5.041492537313435,1.595223880597014,2.435671641791045,2.12089552238806,0,0,0,0,45,112,67,0,60.595356550580405,47.37313432835819,56.01658374792706,0,0,0,0,0,0,0,40.17857142857143,100,59.82142857142857,0.0,3,1969
b407,hot fun in the summertime,sly  the family stone,6.484193548387099,4.625483870967741,5.9417741935483885,1.6787096774193548,2.531935483870969,2.1575806451612896,0,0,0,0,19,81,62,0,72.04659498207887,51.394265232974895,66.01971326164876,0,0,0,0,0,0,0,23.456790123456788,100,76.5432098765432,0.0,3,1969
b408,ill never fall in love again,tom jones,5.770416666666663,4.617083333333336,5.197708333333333,1.7577083333333337,2.5677083333333335,2.367916666666667,0,0,0,0,50,98,48,0,64.1157407407407,51.30092592592595,57.75231481481481,0,0,0,0,0,0,0,51.02040816326531,100,48.97959183673469,0.0,1,1969
b409,build me up buttercup,the foundations,6.0984158415841625,3.916336633663367,5.615049504950495,1.7594059405940592,2.3130693069306956,2.1671287128712864,0,0,0,0,77,178,101,0,67.76017601760181,43.51485148514852,62.38943894389438,0,0,0,0,0,0,0,43.258426966292134,100,56.74157303370787,0.0,1,1969
b410,crimson and clover,tommy james and the shondells,6.165789473684211,3.9210526315789473,5.687368421052632,1.4942105263157894,2.371052631578947,2.1305263157894734,0,0,0,0,10,29,19,0,68.50877192982458,43.567251461988306,63.192982456140356,0,0,0,0,0,0,0,34.48275862068966,100,65.51724137931035,0.0,3,1969
b411,one,three dog night,5.946458333333331,3.243958333333333,5.835416666666666,1.8420833333333322,2.0962500000000013,2.1985416666666677,0,0,0,0,64,112,48,0,66.07175925925924,36.04398148148148,64.83796296296296,0,0,0,0,0,0,0,57.14285714285714,100,42.857142857142854,0.0,1,1969
b412,crystal blue persuasion,tommy james and the shondells,6.499482758620688,4.357931034482757,5.984655172413797,1.645172413793103,2.44448275862069,2.2077586206896544,0,0,0,0,28,86,58,0,72.21647509578541,48.4214559386973,66.49616858237553,0,0,0,0,0,0,0,32.55813953488372,100,67.44186046511628,0.0,3,1969
b413,hair,the cowsills,6.030158730158722,3.9297619047619015,5.842222222222228,1.5898412698412703,2.233333333333331,2.0867460317460327,0,0,0,0,53,179,126,0,67.00176366843024,43.66402116402113,64.91358024691364,0,0,0,0,0,0,0,29.608938547486037,100,70.39106145251397,0.0,3,1969
b414,too busy thinking about my baby,marvin gaye,6.244528301886793,3.912452830188679,5.452264150943397,1.7750943396226413,2.3592452830188693,2.273396226415094,0,0,0,0,63,116,53,0,69.38364779874215,43.471698113207545,60.580712788259966,0,0,0,0,0,0,0,54.310344827586206,100,45.689655172413794,0.0,1,1969
b415,love theme from romeo and juliet,henry mancini,5.843829787234042,4.107021276595743,5.49468085106383,1.6904255319148933,2.4242553191489358,2.2059574468085104,0,0,0,0,19,66,47,0,64.93144208037825,45.633569739952705,61.05200945626478,0,0,0,0,0,0,0,28.78787878787879,100,71.21212121212122,0.0,1,1969
b416,get together,the youngbloods,6.3243076923076895,4.2092307692307696,5.902461538461539,1.6821538461538454,2.4487692307692304,2.106307692307694,0,0,0,0,20,85,65,0,70.27008547008545,46.769230769230774,65.58290598290598,0,0,0,0,0,0,0,23.52941176470588,100,76.47058823529412,0.0,1,1969
b417,grazing in the grass,the friends of distinction,5.855766423357654,3.8163503649635073,5.1270802919707945,1.8259854014598547,2.4778832116788276,2.1981021897810242,0,0,0,0,40,177,137,0,65.0640713706406,42.40389294403897,56.967558799675494,0,0,0,0,0,0,0,22.598870056497177,100,77.40112994350282,0.0,1,1969
b418,suspicious minds,elvis presley,5.812631578947365,4.22631578947369,5.4376315789473635,1.5510526315789472,2.432368421052633,2.261184210526316,0,0,0,0,68,144,76,0,64.58479532163739,46.959064327485436,60.4181286549707,0,0,0,0,0,0,0,47.22222222222222,100,52.77777777777778,0.0,1,1969
b419,proud mary,creedence clearwater revival,6.092549019607843,4.171372549019609,5.488431372549018,1.6088235294117643,2.453725490196079,2.1341176470588232,0,0,0,0,57,108,51,0,67.69498910675381,46.34858387799566,60.9825708061002,0,0,0,0,0,0,0,52.77777777777778,100,47.22222222222222,0.0,1,1969
b420,what does it take to win your love,jr walker  the all stars,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1969
b421,its your thing,the isley brothers,5.700476190476192,3.898253968253972,5.473015873015872,1.5642857142857145,2.2146031746031754,2.1233333333333344,0,0,0,0,45,108,63,0,63.33862433862436,43.31393298059969,60.81128747795414,0,0,0,0,0,0,0,41.66666666666667,100,58.333333333333336,0.0,1,1969
b422,sweet caroline,neil diamond,6.353999999999997,3.7867499999999987,5.767250000000001,1.482,2.3824999999999994,2.046500000000001,0,0,0,0,45,85,40,0,70.59999999999997,42.07499999999999,64.08055555555556,0,0,0,0,0,0,0,52.94117647058824,100,47.05882352941176,0.0,1,1969
b423,jean,oliver,6.038730158730158,3.56952380952381,5.586507936507934,1.7185714285714284,2.143492063492064,2.12936507936508,0,0,0,0,28,91,63,0,67.09700176366842,39.66137566137567,62.07231040564371,0,0,0,0,0,0,0,30.76923076923077,100,69.23076923076923,0.0,3,1969
b424,bad moon rising,creedence clearwater revival,5.293888888888889,4.572222222222225,5.132777777777779,1.724629629629629,2.3944444444444435,2.145000000000001,0,0,0,0,35,89,54,0,58.82098765432099,50.8024691358025,57.03086419753088,0,0,0,0,0,0,0,39.325842696629216,100,60.67415730337079,0.0,1,1969
b425,get back,the beatles with billy preston,5.624146341463407,3.3179268292682904,5.543048780487807,1.6414634146341456,2.0224390243902444,2.137926829268293,0,0,0,0,34,116,82,0,62.49051490514897,36.865853658536565,61.58943089430896,0,0,0,0,0,0,0,29.310344827586203,100,70.6896551724138,0.0,3,1969
b426,in the year 2525,zager  evans,5.585697674418604,4.053255813953489,5.576511627906979,1.6556976744186047,2.362325581395349,2.158953488372093,0,0,0,0,54,140,86,0,62.06330749354005,45.03617571059432,61.96124031007754,0,0,0,0,0,0,0,38.57142857142858,100,61.42857142857143,0.0,3,1969
b427,spinning wheel,blood sweat  tears,5.7235,4.1720000000000015,5.682249999999999,1.50525,2.33425,2.0949999999999998,0,0,0,0,22,62,40,0,63.594444444444434,46.355555555555576,63.1361111111111,0,0,0,0,0,0,0,35.483870967741936,100,64.51612903225806,0.0,3,1969
b428,baby i love you,andy kim,6.727457627118644,4.580338983050849,5.591694915254238,1.745932203389831,2.639491525423729,2.4294915254237295,0,0,0,0,28,87,59,0,74.74952919020717,50.892655367231654,62.12994350282487,0,0,0,0,0,0,0,32.18390804597701,100,67.81609195402298,0.0,1,1969
b429,going in circles,the friends of distinction,6.004109589041095,3.9819178082191806,5.35890410958904,1.7517808219178068,2.342191780821919,2.245479452054795,0,0,0,0,44,117,73,0,66.71232876712328,44.24353120243534,59.54337899543378,0,0,0,0,0,0,0,37.60683760683761,100,62.39316239316239,0.0,3,1969
b430,hurt so bad,the lettermen,4.836612903225804,4.081451612903227,4.987903225806454,1.6141935483870975,2.2975806451612897,2.130483870967742,0,0,0,0,32,94,62,0,53.7401433691756,45.349462365591414,55.42114695340504,0,0,0,0,0,0,0,34.04255319148936,100,65.95744680851064,0.0,1,1969
b431,green river,creedence clearwater revival,5.8725862068965515,3.9218965517241364,5.645172413793102,1.6481034482758619,2.3212068965517245,2.18948275862069,0,0,0,0,25,83,58,0,65.25095785440612,43.57662835249041,62.724137931034456,0,0,0,0,0,0,0,30.120481927710845,100,69.87951807228916,0.0,1,1969
b432,my cherie amour,stevie wonder,6.111190476190477,4.359523809523809,5.612857142857143,1.7526190476190473,2.357619047619047,2.1502380952380946,0,0,0,0,84,126,42,0,67.9021164021164,48.439153439153436,62.36507936507937,0,0,0,0,0,0,0,66.66666666666666,100,33.33333333333333,0.0,1,1969
b433,easy to be hard,three dog night,5.8395454545454575,4.2307575757575755,5.90257575757576,1.6992424242424233,2.3868181818181795,2.140606060606061,0,0,0,0,15,81,66,0,64.88383838383841,47.00841750841751,65.58417508417511,0,0,0,0,0,0,0,18.51851851851852,100,81.48148148148148,0.0,1,1969
b434,baby its you,smith,5.972857142857141,4.298979591836734,5.4438775510204085,1.757959183673469,2.4608163265306136,2.3126530612244895,0,0,0,0,32,81,49,0,66.36507936507934,47.76643990929705,60.487528344671205,0,0,0,0,0,0,0,39.50617283950617,100,60.49382716049383,0.0,1,1969
b435,in the ghetto,elvis presley,5.209690721649489,4.561752577319588,4.986082474226803,1.752268041237113,2.3437113402061858,2.2165979381443304,0,0,0,0,26,123,97,0,57.8854524627721,50.686139747995426,55.400916380297815,0,0,0,0,0,0,0,21.138211382113823,100,78.86178861788618,0.0,1,1969
b436,a boy named sue,johnny cash,5.474891304347825,4.360271739130432,5.4379347826086954,1.6876630434782611,2.321684782608696,2.182173913043479,0,0,0,0,129,313,184,0,60.832125603864725,48.44746376811592,60.42149758454106,0,0,0,0,0,0,0,41.21405750798722,100,58.78594249201278,0.0,1,1969
b437,baby baby dont cry,the miracles,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100,0.0,0.0,NA,1969
b438,only the strong survive,jerry butler,6.174499999999999,4.321875,5.818375,1.6296250000000003,2.3936250000000006,2.2058750000000003,0,0,0,0,59,139,80,0,68.60555555555555,48.02083333333334,64.64861111111111,0,0,0,0,0,0,0,42.44604316546763,100,57.55395683453237,0.0,1,1969
b439,time of the season,the zombies,6.258048780487805,3.9695121951219514,5.511951219512195,1.6265853658536584,2.300487804878049,2.2829268292682925,0,0,0,0,17,58,41,0,69.53387533875338,44.10569105691057,61.24390243902438,0,0,0,0,0,0,0,29.310344827586203,100,70.6896551724138,0.0,1,1969
b440,wedding bell blues,the 5th dimension,5.614722222222224,4.375694444444445,5.364861111111113,1.736111111111111,2.536666666666667,2.321944444444445,0,0,0,0,33,105,72,0,62.385802469135825,48.61882716049384,59.60956790123459,0,0,0,0,0,0,0,31.428571428571427,100,68.57142857142857,0.0,3,1969
b441,little woman,bobby sherman,6.137812499999996,4.16078125,5.5334375000000025,1.5624999999999991,2.2659375000000015,2.2040624999999996,0,0,0,0,56,120,64,0,68.19791666666663,46.230902777777786,61.482638888888914,0,0,0,0,0,0,0,46.666666666666664,100,53.333333333333336,0.0,5,1969
b442,love can make you happy,mercy,6.918245614035088,4.434385964912282,6.0054385964912305,1.6314035087719294,2.5124561403508765,2.305438596491227,0,0,0,0,17,74,57,0,76.86939571150099,49.27095516569202,66.72709551656924,0,0,0,0,0,0,0,22.972972972972975,100,77.02702702702703,0.0,5,1969
b443,good morning starshine,oliver,7.103714285714286,4.292571428571426,6.490285714285709,1.6519999999999992,2.524571428571427,1.9908571428571427,0,0,0,0,77,112,35,0,78.93015873015874,47.69523809523807,72.11428571428566,0,0,0,0,0,0,0,68.75,100,31.25,0.0,1,1969
b444,these eyes,the guess who,6.552428571428569,3.9895714285714323,5.744999999999999,1.764571428571428,2.376285714285715,2.3161428571428573,0,0,0,0,77,147,70,0,72.80476190476188,44.32857142857147,63.83333333333332,0,0,0,0,0,0,0,52.38095238095239,100,47.61904761904761,0.0,3,1969
b445,youve made me so very happy,blood sweat  tears,6.6497959183673485,4.604693877551022,6.046326530612242,1.7142857142857137,2.470816326530613,2.2487755102040814,0,0,0,0,44,93,49,0,73.88662131519276,51.16326530612247,67.18140589569158,0,0,0,0,0,0,0,47.31182795698925,100,52.68817204301075,0.0,5,1969
b446,put a little love in your heart,jackie deshannon,6.087252747252748,4.271318681318683,5.590109890109891,1.5519780219780215,2.3905494505494507,2.242307692307692,0,0,0,0,25,116,91,0,67.63614163614164,47.45909645909648,62.11233211233212,0,0,0,0,0,0,0,21.551724137931032,100,78.44827586206897,0.0,1,1969
b447,do your thing,the watts 103rd street rhythm band,5.9384848484848485,3.7557575757575776,5.668181818181817,1.6921212121212115,2.325151515151515,2.0857575757575755,0,0,0,0,28,61,33,0,65.98316498316498,41.73063973063975,62.97979797979797,0,0,0,0,0,0,0,45.90163934426229,100,54.09836065573771,0.0,3,1969
